19-9-2 上午12:33
项目统计数据

       	 片段数	   单词数	字符数（不计空格）	字符数（计入空格）	#文件数	
总共：    	8907	278357	  2092221	  2393016	2903	
剩余片段：  	8907	278357	  2092221	  2393016	2903	
独特片段：  	6674	222219	  1671045	  1910015	2630	
剩余独特片段：	6674	222219	  1671045	  1910015	2630	


各文件统计数据：

文件名                                                                                                                       	总片段数	剩余片段数	独特片段数	剩余独特片段数	总单词数	剩余单词数	独特单词数	剩余独特单词数	总字符数（不计空格）	剩余字符数（不计空格）	独特字符数（不计空格）	剩余独特字符数（不计空格）	总字符数（计入空格）	剩余字符数（计入空格）	独特字符数（计入空格）	剩余独特字符数（计入空格）	
codex/aegi/aegihistory1.codex.patch                                                                                       	   6	    6	    6	      6	 238	  238	  238	    238	      1365	       1365	       1365	         1365	      1599	       1599	       1599	         1599	
codex/aegi/aegihistory2.codex.patch                                                                                       	   4	    4	    4	      4	 204	  204	  204	    204	      1211	       1211	       1211	         1211	      1417	       1417	       1417	         1417	
codex/aegi/aegihistory3.codex.patch                                                                                       	   8	    8	    8	      8	 255	  255	  255	    255	      1393	       1393	       1393	         1393	      1645	       1645	       1645	         1645	
codex/aegi/aegihistory4.codex.patch                                                                                       	   6	    6	    6	      6	 239	  239	  239	    239	      1341	       1341	       1341	         1341	      1575	       1575	       1575	         1575	
codex/aegi/aegihistory5.codex.patch                                                                                       	   5	    5	    5	      5	 205	  205	  205	    205	      1146	       1146	       1146	         1146	      1351	       1351	       1351	         1351	
codex/aegi/aegihistory6.codex.patch                                                                                       	   6	    6	    6	      6	 318	  318	  318	    318	      1759	       1759	       1759	         1759	      2077	       2077	       2077	         2077	
codex/aegi/aegivoyagercompany.codex.patch                                                                                 	  10	   10	   10	     10	 521	  521	  521	    521	      2748	       2748	       2748	         2748	      3259	       3259	       3259	         3259	
codex/aegi/enerthpamphlet.codex.patch                                                                                     	   7	    7	    7	      7	 217	  217	  217	    217	      1282	       1282	       1282	         1282	      1491	       1491	       1491	         1491	
codex/aegi/eritoprototypes.codex.patch                                                                                    	   7	    7	    7	      7	 176	  176	  176	    176	       946	        946	        946	          946	      1125	       1125	       1125	         1125	
codex/aegi/excaliburshieldblade.codex.patch                                                                               	   8	    8	    8	      8	 298	  298	  298	    298	      1767	       1767	       1767	         1767	      2065	       2065	       2065	         2065	
codex/aegi/landingfestivalposter.codex.patch                                                                              	   6	    6	    6	      6	 227	  227	  227	    227	      1272	       1272	       1272	         1272	      1490	       1490	       1490	         1490	
codex/aegi/mehrosavanpamphlet.codex.patch                                                                                 	   4	    4	    4	      4	 150	  150	  150	    150	       883	        883	        883	          883	      1031	       1031	       1031	         1031	
codex/akkimari/akkimariprotectornotes.codex.patch                                                                         	  16	   16	   16	     16	 177	  177	  177	    177	       993	        993	        993	          993	      1159	       1159	       1159	         1159	
codex/avikan/avikanbestiary.codex.patch                                                                                   	  14	   14	   14	     14	 430	  430	  430	    430	      2287	       2287	       2287	         2287	      2696	       2696	       2696	         2696	
codex/avikan/avikanblackmarketshipment.codex.patch                                                                        	   3	    3	    3	      3	 150	  150	  150	    150	       878	        878	        878	          878	      1033	       1033	       1033	         1033	
codex/avikan/avikangods1.codex.patch                                                                                      	   7	    7	    7	      7	 247	  247	  247	    247	      1375	       1375	       1375	         1375	      1626	       1626	       1626	         1626	
codex/avikan/avikanhistory1.codex.patch                                                                                   	   6	    6	    6	      6	 204	  204	  204	    204	      1107	       1107	       1107	         1107	      1315	       1315	       1315	         1315	
codex/avikan/avikanhistory2.codex.patch                                                                                   	  10	   10	   10	     10	 257	  257	  257	    257	      1315	       1315	       1315	         1315	      1572	       1572	       1572	         1572	
codex/avikan/avikanhistory3.codex.patch                                                                                   	   7	    7	    7	      7	 211	  211	  211	    211	      1127	       1127	       1127	         1127	      1341	       1341	       1341	         1341	
codex/avikan/avikanhistory4.codex.patch                                                                                   	   8	    8	    8	      8	 211	  211	  211	    211	      1123	       1123	       1123	         1123	      1336	       1336	       1336	         1336	
codex/avikan/avikanhistory5.codex.patch                                                                                   	   6	    6	    6	      6	 199	  199	  199	    199	      1061	       1061	       1061	         1061	      1264	       1264	       1264	         1264	
codex/avikan/avikanhistory6.codex.patch                                                                                   	   6	    6	    6	      6	 218	  218	  218	    218	      1079	       1079	       1079	         1079	      1303	       1303	       1303	         1303	
codex/avikan/avikanhistory7.codex.patch                                                                                   	   7	    7	    7	      7	 227	  227	  227	    227	      1110	       1110	       1110	         1110	      1340	       1340	       1340	         1340	
codex/avikan/avikanhuntingguide.codex.patch                                                                               	   4	    4	    4	      4	 292	  292	  292	    292	      1569	       1569	       1569	         1569	      1854	       1854	       1854	         1854	
codex/avikan/avikanlineriflewarning.codex.patch                                                                           	  10	   10	   10	     10	 303	  303	  303	    303	      1659	       1659	       1659	         1659	      1955	       1955	       1955	         1955	
codex/avikan/avikanorders1.codex.patch                                                                                    	   6	    6	    6	      6	 299	  299	  299	    299	      1648	       1648	       1648	         1648	      1936	       1936	       1936	         1936	
codex/avikan/avikanramblings.codex.patch                                                                                  	  36	   36	   36	     36	 717	  717	  717	    717	      3171	       3171	       3171	         3171	      3866	       3866	       3866	         3866	
codex/avikan/avikanrhadeis1.codex.patch                                                                                   	   7	    7	    7	      7	 199	  199	  199	    199	      1014	       1014	       1014	         1014	      1218	       1218	       1218	         1218	
codex/avikan/avikanrhadeis2.codex.patch                                                                                   	   4	    4	    4	      4	 189	  189	  189	    189	      1017	       1017	       1017	         1017	      1212	       1212	       1212	         1212	
codex/avikan/avikanrhadeis3.codex.patch                                                                                   	   4	    4	    4	      4	 213	  213	  213	    213	      1119	       1119	       1119	         1119	      1338	       1338	       1338	         1338	
codex/avikan/avikanrhadeis4.codex.patch                                                                                   	   5	    5	    5	      5	 207	  207	  207	    207	      1155	       1155	       1155	         1155	      1367	       1367	       1367	         1367	
codex/avikan/avikanrhadeis5.codex.patch                                                                                   	   6	    6	    6	      6	 203	  203	  203	    203	      1122	       1122	       1122	         1122	      1330	       1330	       1330	         1330	
codex/avikan/avikanrhadeis6.codex.patch                                                                                   	   4	    4	    4	      4	 192	  192	  192	    192	      1024	       1024	       1024	         1024	      1222	       1222	       1222	         1222	
codex/avikan/avikanrhadeis7.codex.patch                                                                                   	   1	    1	    1	      1	  73	   73	   73	     73	       401	        401	        401	          401	       479	        479	        479	          479	
codex/avikan/drodenlegion.codex.patch                                                                                     	   4	    4	    4	      4	 113	  113	  113	    113	       645	        645	        645	          645	       761	        761	        761	          761	
codex/avikan/kadavanlocations.codex.patch                                                                                 	   8	    8	    8	      8	 436	  436	  436	    436	      2460	       2460	       2460	         2460	      2879	       2879	       2879	         2879	
codex/avikan/vhaleihanspear.codex.patch                                                                                   	   5	    5	    5	      5	 195	  195	  195	    195	      1031	       1031	       1031	         1031	      1232	       1232	       1232	         1232	
codex/trink/primecircuit.codex.patch                                                                                      	   3	    3	    3	      3	  89	   89	   89	     89	       562	        562	        562	          562	       656	        656	        656	          656	
codex/trink/trinkambassadornotes.codex.patch                                                                              	   7	    7	    7	      7	 250	  250	  250	    250	      1312	       1312	       1312	         1312	      1564	       1564	       1564	         1564	
collections/thea_weapons.collection.patch                                                                                 	   2	    2	    2	      2	2105	 2105	 2105	   2105	     18517	      18517	      18517	        18517	     20614	      20614	      20614	        20614	
dialog/allianceoutpost.config.patch                                                                                       	  42	   42	   42	     42	1782	 1782	 1782	   1782	     10406	      10406	      10406	        10406	     12055	      12055	      12055	        12055	
dialog/avikanoutpost.config.patch                                                                                         	  68	   68	   68	     68	4642	 4642	 4642	   4642	     28634	      28634	      28634	        28634	     32936	      32936	      32936	        32936	
interface/events/harrowing/harrowingnotification.config.patch                                                             	   4	    4	    4	      4	 126	  126	  126	    126	       693	        693	        693	          693	       792	        792	        792	          792	
interface/events/landingfestival/landingfestivalnotification.config.patch                                                 	   4	    4	    4	      4	 145	  145	  145	    145	       841	        841	        841	          841	       951	        951	        951	          951	
interface/itemdescriptions/thea-activethrowable.itemdescription.patch                                                     	   1	    1	    1	      1	  33	   33	   33	     33	       288	        288	        288	          288	       326	        326	        326	          326	
interface/itemdescriptions/thea-ammogun-mf-unique.itemdescription.patch                                                   	   1	    1	    1	      1	  62	   62	   62	     62	       582	        582	        582	          582	       653	        653	        653	          653	
interface/itemdescriptions/thea-ammogun-patreon.itemdescription.patch                                                     	   1	    1	    0	      0	  62	   62	    0	      0	       582	        582	          0	            0	       653	        653	          0	            0	
interface/itemdescriptions/thea-ammogun-unique.itemdescription.patch                                                      	   1	    1	    0	      0	  62	   62	    0	      0	       582	        582	          0	            0	       653	        653	          0	            0	
interface/itemdescriptions/thea-ammogunnoreload-patreon.itemdescription.patch                                             	   1	    1	    1	      1	  48	   48	   48	     48	       437	        437	        437	          437	       492	        492	        492	          492	
interface/itemdescriptions/thea-armor-unique.itemdescription.patch                                                        	   1	    1	    1	      1	  21	   21	   21	     21	       194	        194	        194	          194	       219	        219	        219	          219	
interface/itemdescriptions/thea-armorwide-unique.itemdescription.patch                                                    	   1	    1	    0	      0	  21	   21	    0	      0	       194	        194	          0	            0	       219	        219	          0	            0	
interface/itemdescriptions/thea-bow-mf-attachment.itemdescription.patch                                                   	   1	    1	    1	      1	  42	   42	   42	     42	       375	        375	        375	          375	       423	        423	        423	          423	
interface/itemdescriptions/thea-bow-mf.itemdescription.patch                                                              	   1	    1	    0	      0	  42	   42	    0	      0	       375	        375	          0	            0	       423	        423	          0	            0	
interface/itemdescriptions/thea-bow-patreon.itemdescription.patch                                                         	   1	    1	    1	      1	  49	   49	   49	     49	       443	        443	        443	          443	       499	        499	        499	          499	
interface/itemdescriptions/thea-bow-unique.itemdescription.patch                                                          	   1	    1	    0	      0	  49	   49	    0	      0	       443	        443	          0	            0	       499	        499	          0	            0	
interface/itemdescriptions/thea-bow.itemdescription.patch                                                                 	   1	    1	    0	      0	  42	   42	    0	      0	       375	        375	          0	            0	       423	        423	          0	            0	
interface/itemdescriptions/thea-burstgun-unique.itemdescription.patch                                                     	   1	    1	    1	      1	  50	   50	   50	     50	       449	        449	        449	          449	       506	        506	        506	          506	
interface/itemdescriptions/thea-burstgun.itemdescription.patch                                                            	   1	    1	    1	      1	  43	   43	   43	     43	       381	        381	        381	          381	       430	        430	        430	          430	
interface/itemdescriptions/thea-chainsaw-mf.itemdescription.patch                                                         	   1	    1	    1	      1	  24	   24	   24	     24	       218	        218	        218	          218	       246	        246	        246	          246	
interface/itemdescriptions/thea-chainsaw.itemdescription.patch                                                            	   1	    1	    0	      0	  24	   24	    0	      0	       218	        218	          0	            0	       246	        246	          0	            0	
interface/itemdescriptions/thea-chargedammogun-patreon.itemdescription.patch                                              	   1	    1	    1	      1	  61	   61	   61	     61	       587	        587	        587	          587	       657	        657	        657	          657	
interface/itemdescriptions/thea-chargedammogun-unique-mf.itemdescription.patch                                            	   1	    1	    0	      0	  61	   61	    0	      0	       587	        587	          0	            0	       657	        657	          0	            0	
interface/itemdescriptions/thea-chargedammogun-unique.itemdescription.patch                                               	   1	    1	    0	      0	  61	   61	    0	      0	       587	        587	          0	            0	       657	        657	          0	            0	
interface/itemdescriptions/thea-chargedgun-unique-mf.itemdescription.patch                                                	   1	    1	    1	      1	  40	   40	   40	     40	       368	        368	        368	          368	       414	        414	        414	          414	
interface/itemdescriptions/thea-chargedgun-unique.itemdescription.patch                                                   	   1	    1	    0	      0	  40	   40	    0	      0	       368	        368	          0	            0	       414	        414	          0	            0	
interface/itemdescriptions/thea-chargedgun.itemdescription.patch                                                          	   1	    1	    1	      1	  33	   33	   33	     33	       300	        300	        300	          300	       338	        338	        338	          338	
interface/itemdescriptions/thea-chargedgunalt-unique.itemdescription.patch                                                	   1	    1	    0	      0	  40	   40	    0	      0	       368	        368	          0	            0	       414	        414	          0	            0	
interface/itemdescriptions/thea-continuousgun-mf.itemdescription.patch                                                    	   1	    1	    1	      1	  25	   25	   25	     25	       220	        220	        220	          220	       249	        249	        249	          249	
interface/itemdescriptions/thea-continuousgun-unique-mf.itemdescription.patch                                             	   1	    1	    1	      1	  32	   32	   32	     32	       288	        288	        288	          288	       325	        325	        325	          325	
interface/itemdescriptions/thea-continuousgun-unique.itemdescription.patch                                                	   1	    1	    0	      0	  32	   32	    0	      0	       288	        288	          0	            0	       325	        325	          0	            0	
interface/itemdescriptions/thea-continuousgun.itemdescription.patch                                                       	   1	    1	    0	      0	  25	   25	    0	      0	       220	        220	          0	            0	       249	        249	          0	            0	
interface/itemdescriptions/thea-fistweapon-unique.itemdescription.patch                                                   	   1	    1	    1	      1	  32	   32	   32	     32	       282	        282	        282	          282	       319	        319	        319	          319	
interface/itemdescriptions/thea-food-patreon.itemdescription.patch                                                        	   1	    1	    1	      1	  14	   14	   14	     14	       125	        125	        125	          125	       142	        142	        142	          142	
interface/itemdescriptions/thea-gun-descriptive.itemdescription.patch                                                     	   1	    1	    1	      1	  34	   34	   34	     34	       295	        295	        295	          295	       334	        334	        334	          334	
interface/itemdescriptions/thea-gun-mf-attachment.itemdescription.patch                                                   	   1	    1	    0	      0	  34	   34	    0	      0	       295	        295	          0	            0	       334	        334	          0	            0	
interface/itemdescriptions/thea-gun-mf.itemdescription.patch                                                              	   1	    1	    0	      0	  34	   34	    0	      0	       295	        295	          0	            0	       334	        334	          0	            0	
interface/itemdescriptions/thea-gun-patreon.itemdescription.patch                                                         	   1	    1	    1	      1	  41	   41	   41	     41	       363	        363	        363	          363	       410	        410	        410	          410	
interface/itemdescriptions/thea-gun-unique-mf.itemdescription.patch                                                       	   1	    1	    0	      0	  41	   41	    0	      0	       363	        363	          0	            0	       410	        410	          0	            0	
interface/itemdescriptions/thea-gun-unique.itemdescription.patch                                                          	   1	    1	    0	      0	  41	   41	    0	      0	       363	        363	          0	            0	       410	        410	          0	            0	
interface/itemdescriptions/thea-longbow-unique.itemdescription.patch                                                      	   1	    1	    1	      1	  48	   48	   48	     48	       446	        446	        446	          446	       501	        501	        501	          501	
interface/itemdescriptions/thea-minigun-unique.itemdescription.patch                                                      	   1	    1	    1	      1	  49	   49	   49	     49	       439	        439	        439	          439	       495	        495	        495	          495	
interface/itemdescriptions/thea-minigun.itemdescription.patch                                                             	   1	    1	    1	      1	  42	   42	   42	     42	       371	        371	        371	          371	       419	        419	        419	          419	
interface/itemdescriptions/thea-mininglaser-mf.itemdescription.patch                                                      	   1	    1	    1	      1	  33	   33	   33	     33	       304	        304	        304	          304	       342	        342	        342	          342	
interface/itemdescriptions/thea-mininglaser.itemdescription.patch                                                         	   1	    1	    0	      0	  33	   33	    0	      0	       304	        304	          0	            0	       342	        342	          0	            0	
interface/itemdescriptions/thea-optionalchargegun-unique.itemdescription.patch                                            	   1	    1	    1	      1	  49	   49	   49	     49	       462	        462	        462	          462	       518	        518	        518	          518	
interface/itemdescriptions/thea-overheatgun-unique-mf.itemdescription.patch                                               	   1	    1	    1	      1	  49	   49	   49	     49	       447	        447	        447	          447	       503	        503	        503	          503	
interface/itemdescriptions/thea-sealedcache-unique.itemdescription.patch                                                  	   1	    1	    0	      0	  14	   14	    0	      0	       125	        125	          0	            0	       142	        142	          0	            0	
interface/itemdescriptions/thea-sealedcache.itemdescription.patch                                                         	   1	    1	    1	      1	   7	    7	    7	      7	        57	         57	         57	           57	        66	         66	         66	           66	
interface/itemdescriptions/thea-shield-mf.itemdescription.patch                                                           	   1	    1	    1	      1	  23	   23	   23	     23	       210	        210	        210	          210	       237	        237	        237	          237	
interface/itemdescriptions/thea-speedupminigun-mf-attachment.itemdescription.patch                                        	   1	    1	    1	      1	  53	   53	   53	     53	       462	        462	        462	          462	       522	        522	        522	          522	
interface/itemdescriptions/thea-speedupminigun-mf.itemdescription.patch                                                   	   1	    1	    0	      0	  53	   53	    0	      0	       462	        462	          0	            0	       522	        522	          0	            0	
interface/itemdescriptions/thea-speedupminigun-unique.itemdescription.patch                                               	   1	    1	    1	      1	  60	   60	   60	     60	       530	        530	        530	          530	       598	        598	        598	          598	
interface/itemdescriptions/thea-sword-descriptive.itemdescription.patch                                                   	   1	    1	    1	      1	  25	   25	   25	     25	       214	        214	        214	          214	       243	        243	        243	          243	
interface/itemdescriptions/thea-sword-mf.itemdescription.patch                                                            	   1	    1	    0	      0	  25	   25	    0	      0	       214	        214	          0	            0	       243	        243	          0	            0	
interface/itemdescriptions/thea-sword-unique-mf.itemdescription.patch                                                     	   1	    1	    0	      0	  32	   32	    0	      0	       282	        282	          0	            0	       319	        319	          0	            0	
interface/itemdescriptions/thea-sword-unique.itemdescription.patch                                                        	   1	    1	    0	      0	  32	   32	    0	      0	       282	        282	          0	            0	       319	        319	          0	            0	
interface/itemdescriptions/thea-tool-unique.itemdescription.patch                                                         	   1	    1	    0	      0	  14	   14	    0	      0	       125	        125	          0	            0	       142	        142	          0	            0	
interface/itemdescriptions/thea-unique.itemdescription.patch                                                              	   1	    1	    0	      0	  14	   14	    0	      0	       125	        125	          0	            0	       142	        142	          0	            0	
interface/scripted/akkimariscavenging/akkimariscavenginggui.config.patch                                                  	   1	    1	    1	      1	  60	   60	   60	     60	       470	        470	        470	          470	       533	        533	        533	          533	
interface/scripted/alliancekeypad/alliancekeypadgui.config.patch                                                          	   1	    1	    1	      1	  19	   19	   19	     19	       155	        155	        155	          155	       177	        177	        177	          177	
interface/scripted/alliancerecruitment/alliancerecruitmentgui.config.patch                                                	   2	    2	    2	      2	 166	  166	  166	    166	      1394	       1394	       1394	         1394	      1561	       1561	       1561	         1561	
interface/scripted/allianceweaponattachment/allianceweaponattachmentgui.config.patch                                      	   1	    1	    1	      1	  48	   48	   48	     48	       387	        387	        387	          387	       438	        438	        438	          438	
interface/scripted/allianceweaponimprovement/akkimariweaponimprovementgui.config.patch                                    	   1	    1	    1	      1	  83	   83	   83	     83	       659	        659	        659	          659	       742	        742	        742	          742	
interface/scripted/allianceweaponimprovement/allianceweaponimprovementgui.config.patch                                    	   1	    1	    0	      0	  83	   83	    0	      0	       659	        659	          0	            0	       742	        742	          0	            0	
interface/scripted/avikandrodenshop/avikandrodenshopgui.config.patch                                                      	   2	    2	    2	      2	 133	  133	  133	    133	      1092	       1092	       1092	         1092	      1226	       1226	       1226	         1226	
interface/scripted/avikankeypad/avikankeypadgui.config.patch                                                              	   1	    1	    1	      1	  19	   19	   19	     19	       160	        160	        160	          160	       182	        182	        182	          182	
interface/scripted/avikanmaterialmerchant/avikanmaterialmerchantgui.config.patch                                          	   1	    1	    1	      1	  34	   34	   34	     34	       259	        259	        259	          259	       294	        294	        294	          294	
interface/scripted/uniqueweaponcollection/uniqueweaponcollectiongui.config.patch                                          	   1	    1	    1	      1	  83	   83	   83	     83	       684	        684	        684	          684	       767	        767	        767	          767	
interface/scripted/uniqueweaponinfusion/uniqueweaponinfusiongui.config.patch                                              	   1	    1	    1	      1	  56	   56	   56	     56	       461	        461	        461	          461	       522	        522	        522	          522	
interface/scripted/vehiclerepair/alliance-vehiclerepairgui.config.patch                                                   	   1	    1	    1	      1	  82	   82	   82	     82	       652	        652	        652	          652	       734	        734	        734	          734	
interface/scripted/vehiclerepair/avikan-vehiclerepairgui.config.patch                                                     	   1	    1	    1	      1	  82	   82	   82	     82	       654	        654	        654	          654	       736	        736	        736	          736	
interface/tooltips/thea-activethrowable.tooltip.patch                                                                     	   2	    2	    2	      2	  46	   46	   46	     46	       372	        372	        372	          372	       423	        423	        423	          423	
interface/tooltips/thea-ammogun-mf-unique.tooltip.patch                                                                   	   2	    2	    2	      2	  84	   84	   84	     84	       742	        742	        742	          742	       834	        834	        834	          834	
interface/tooltips/thea-ammogun-patreon.tooltip.patch                                                                     	   2	    2	    0	      0	  84	   84	    0	      0	       742	        742	          0	            0	       834	        834	          0	            0	
interface/tooltips/thea-ammogun-unique.tooltip.patch                                                                      	   2	    2	    0	      0	  84	   84	    0	      0	       742	        742	          0	            0	       834	        834	          0	            0	
interface/tooltips/thea-ammogunnoreload-patreon.tooltip.patch                                                             	   2	    2	    1	      1	  70	   70	   55	     55	       597	        597	        470	          470	       673	        673	        532	          532	
interface/tooltips/thea-armor-unique.tooltip.patch                                                                        	   1	    1	    1	      1	  23	   23	   23	     23	       203	        203	        203	          203	       228	        228	        228	          228	
interface/tooltips/thea-armorwide-unique.tooltip.patch                                                                    	   1	    1	    0	      0	  23	   23	    0	      0	       203	        203	          0	            0	       228	        228	          0	            0	
interface/tooltips/thea-attachment-unique.tooltip.patch                                                                   	   1	    1	    0	      0	  14	   14	    0	      0	       125	        125	          0	            0	       142	        142	          0	            0	
interface/tooltips/thea-attachment.tooltip.patch                                                                          	   1	    1	    0	      0	   7	    7	    0	      0	        57	         57	          0	            0	        66	         66	          0	            0	
interface/tooltips/thea-bow-mf-attachment.tooltip.patch                                                                   	   1	    1	    0	      0	  42	   42	    0	      0	       375	        375	          0	            0	       423	        423	          0	            0	
interface/tooltips/thea-bow-mf.tooltip.patch                                                                              	   1	    1	    0	      0	  42	   42	    0	      0	       375	        375	          0	            0	       423	        423	          0	            0	
interface/tooltips/thea-bow-patreon.tooltip.patch                                                                         	   1	    1	    1	      1	  71	   71	   71	     71	       618	        618	        618	          618	       696	        696	        696	          696	
interface/tooltips/thea-bow-unique.tooltip.patch                                                                          	   1	    1	    0	      0	  71	   71	    0	      0	       618	        618	          0	            0	       696	        696	          0	            0	
interface/tooltips/thea-bow.tooltip.patch                                                                                 	   1	    1	    0	      0	  42	   42	    0	      0	       375	        375	          0	            0	       423	        423	          0	            0	
interface/tooltips/thea-burstgun-unique.tooltip.patch                                                                     	   2	    2	    2	      2	  72	   72	   72	     72	       609	        609	        609	          609	       687	        687	        687	          687	
interface/tooltips/thea-burstgun.tooltip.patch                                                                            	   1	    1	    1	      1	  43	   43	   43	     43	       380	        380	        380	          380	       429	        429	        429	          429	
interface/tooltips/thea-chainsaw-mf.tooltip.patch                                                                         	   1	    1	    0	      0	  24	   24	    0	      0	       218	        218	          0	            0	       246	        246	          0	            0	
interface/tooltips/thea-chainsaw.tooltip.patch                                                                            	   1	    1	    0	      0	  24	   24	    0	      0	       218	        218	          0	            0	       246	        246	          0	            0	
interface/tooltips/thea-chargedammogun-patreon.tooltip.patch                                                              	   2	    2	    1	      1	  83	   83	   68	     68	       747	        747	        620	          620	       838	        838	        697	          697	
interface/tooltips/thea-chargedammogun-unique-mf.tooltip.patch                                                            	   2	    2	    0	      0	  83	   83	    0	      0	       747	        747	          0	            0	       838	        838	          0	            0	
interface/tooltips/thea-chargedammogun-unique.tooltip.patch                                                               	   2	    2	    0	      0	  83	   83	    0	      0	       747	        747	          0	            0	       838	        838	          0	            0	
interface/tooltips/thea-chargedgun-unique-mf.tooltip.patch                                                                	   2	    2	    1	      1	  62	   62	   47	     47	       528	        528	        401	          401	       595	        595	        454	          454	
interface/tooltips/thea-chargedgun-unique.tooltip.patch                                                                   	   2	    2	    0	      0	  62	   62	    0	      0	       528	        528	          0	            0	       595	        595	          0	            0	
interface/tooltips/thea-chargedgun.tooltip.patch                                                                          	   1	    1	    0	      0	  33	   33	    0	      0	       300	        300	          0	            0	       338	        338	          0	            0	
interface/tooltips/thea-chargedgunalt-unique.tooltip.patch                                                                	   2	    2	    0	      0	  62	   62	    0	      0	       528	        528	          0	            0	       595	        595	          0	            0	
interface/tooltips/thea-continuousgun-mf.tooltip.patch                                                                    	   2	    2	    1	      1	  38	   38	   32	     32	       304	        304	        253	          253	       346	        346	        289	          289	
interface/tooltips/thea-continuousgun-unique-mf.tooltip.patch                                                             	   2	    2	    1	      1	  54	   54	   39	     39	       448	        448	        321	          321	       506	        506	        365	          365	
interface/tooltips/thea-continuousgun-unique.tooltip.patch                                                                	   2	    2	    0	      0	  54	   54	    0	      0	       448	        448	          0	            0	       506	        506	          0	            0	
interface/tooltips/thea-continuousgun.tooltip.patch                                                                       	   2	    2	    0	      0	  38	   38	    0	      0	       304	        304	          0	            0	       346	        346	          0	            0	
interface/tooltips/thea-fistweapon-unique.tooltip.patch                                                                   	   1	    1	    1	      1	  41	   41	   41	     41	       358	        358	        358	          358	       403	        403	        403	          403	
interface/tooltips/thea-food-patreon.tooltip.patch                                                                        	   1	    1	    0	      0	  14	   14	    0	      0	       125	        125	          0	            0	       142	        142	          0	            0	
interface/tooltips/thea-gun-descriptive.tooltip.patch                                                                     	   2	    2	    1	      1	  47	   47	   41	     41	       379	        379	        328	          328	       431	        431	        374	          374	
